case,M,N,K,density,sparsity,lib,algo,gflops
small,512,1024,64,0.01,0.99,csrspmm,Naive,88.99
small,512,1024,64,0.01,0.99,csrspmm,WarpPerRow,69.40
small,512,1024,64,0.01,0.99,csrspmm,WarpPerRowSmem,77.93
small,512,1024,64,0.01,0.99,csrspmm,WarpPerRowFp4,79.59
small,512,1024,64,0.01,0.99,csrspmm,WarpPerRowSmemFp4,89.37
small,512,1024,64,0.01,0.99,cuSPARSE,cuSPARSE,41.46
small,512,1024,64,0.05,0.95,csrspmm,Naive,292.79
small,512,1024,64,0.05,0.95,csrspmm,WarpPerRow,204.39
small,512,1024,64,0.05,0.95,csrspmm,WarpPerRowSmem,294.98
small,512,1024,64,0.05,0.95,csrspmm,WarpPerRowFp4,276.03
small,512,1024,64,0.05,0.95,csrspmm,WarpPerRowSmemFp4,304.83
small,512,1024,64,0.05,0.95,cuSPARSE,cuSPARSE,201.17
small,512,1024,64,0.10,0.90,csrspmm,Naive,356.74
small,512,1024,64,0.10,0.90,csrspmm,WarpPerRow,272.65
small,512,1024,64,0.10,0.90,csrspmm,WarpPerRowSmem,336.15
small,512,1024,64,0.10,0.90,csrspmm,WarpPerRowFp4,351.93
small,512,1024,64,0.10,0.90,csrspmm,WarpPerRowSmemFp4,389.91
small,512,1024,64,0.10,0.90,cuSPARSE,cuSPARSE,261.88
small,512,1024,64,0.20,0.80,csrspmm,Naive,428.98
small,512,1024,64,0.20,0.80,csrspmm,WarpPerRow,371.86
small,512,1024,64,0.20,0.80,csrspmm,WarpPerRowSmem,425.17
small,512,1024,64,0.20,0.80,csrspmm,WarpPerRowFp4,510.07
small,512,1024,64,0.20,0.80,csrspmm,WarpPerRowSmemFp4,516.65
small,512,1024,64,0.20,0.80,cuSPARSE,cuSPARSE,353.61
small,512,1024,64,0.30,0.70,csrspmm,Naive,465.85
small,512,1024,64,0.30,0.70,csrspmm,WarpPerRow,416.95
small,512,1024,64,0.30,0.70,csrspmm,WarpPerRowSmem,474.94
small,512,1024,64,0.30,0.70,csrspmm,WarpPerRowFp4,603.41
small,512,1024,64,0.30,0.70,csrspmm,WarpPerRowSmemFp4,607.70
small,512,1024,64,0.30,0.70,cuSPARSE,cuSPARSE,438.58
medium,1024,2048,128,0.01,0.99,csrspmm,Naive,283.51
medium,1024,2048,128,0.01,0.99,csrspmm,WarpPerRow,265.83
medium,1024,2048,128,0.01,0.99,csrspmm,WarpPerRowSmem,301.47
medium,1024,2048,128,0.01,0.99,csrspmm,WarpPerRowFp4,331.32
medium,1024,2048,128,0.01,0.99,csrspmm,WarpPerRowSmemFp4,332.86
medium,1024,2048,128,0.01,0.99,cuSPARSE,cuSPARSE,247.83
medium,1024,2048,128,0.05,0.95,csrspmm,Naive,459.86
medium,1024,2048,128,0.05,0.95,csrspmm,WarpPerRow,371.41
medium,1024,2048,128,0.05,0.95,csrspmm,WarpPerRowSmem,520.19
medium,1024,2048,128,0.05,0.95,csrspmm,WarpPerRowFp4,632.67
medium,1024,2048,128,0.05,0.95,csrspmm,WarpPerRowSmemFp4,614.97
medium,1024,2048,128,0.05,0.95,cuSPARSE,cuSPARSE,461.37
medium,1024,2048,128,0.10,0.90,csrspmm,Naive,511.64
medium,1024,2048,128,0.10,0.90,csrspmm,WarpPerRow,408.82
medium,1024,2048,128,0.10,0.90,csrspmm,WarpPerRowSmem,691.97
medium,1024,2048,128,0.10,0.90,csrspmm,WarpPerRowFp4,1180.84
medium,1024,2048,128,0.10,0.90,csrspmm,WarpPerRowSmemFp4,717.27
medium,1024,2048,128,0.10,0.90,cuSPARSE,cuSPARSE,621.56
medium,1024,2048,128,0.20,0.80,csrspmm,Naive,696.67
medium,1024,2048,128,0.20,0.80,csrspmm,WarpPerRow,520.09
medium,1024,2048,128,0.20,0.80,csrspmm,WarpPerRowSmem,605.86
medium,1024,2048,128,0.20,0.80,csrspmm,WarpPerRowFp4,1653.75
medium,1024,2048,128,0.20,0.80,csrspmm,WarpPerRowSmemFp4,722.57
medium,1024,2048,128,0.20,0.80,cuSPARSE,cuSPARSE,633.65
medium,1024,2048,128,0.30,0.70,csrspmm,Naive,713.82
medium,1024,2048,128,0.30,0.70,csrspmm,WarpPerRow,538.36
medium,1024,2048,128,0.30,0.70,csrspmm,WarpPerRowSmem,660.12
medium,1024,2048,128,0.30,0.70,csrspmm,WarpPerRowFp4,1614.04
medium,1024,2048,128,0.30,0.70,csrspmm,WarpPerRowSmemFp4,802.86
medium,1024,2048,128,0.30,0.70,cuSPARSE,cuSPARSE,648.28
large,4096,4096,128,0.01,0.99,csrspmm,Naive,545.86
large,4096,4096,128,0.01,0.99,csrspmm,WarpPerRow,585.64
large,4096,4096,128,0.01,0.99,csrspmm,WarpPerRowSmem,626.61
large,4096,4096,128,0.01,0.99,csrspmm,WarpPerRowFp4,671.31
large,4096,4096,128,0.01,0.99,csrspmm,WarpPerRowSmemFp4,631.14
large,4096,4096,128,0.01,0.99,cuSPARSE,cuSPARSE,485.05
large,4096,4096,128,0.05,0.95,csrspmm,Naive,674.40
large,4096,4096,128,0.05,0.95,csrspmm,WarpPerRow,570.41
