case,M,N,K,density,sparsity,lib,algo,gflops
small,512,1024,64,0.01,0.99,torch,torch.mm,12.022862636931976
small,512,1024,64,0.01,0.99,torch,torch.addmm,16.187062673366835
small,512,1024,64,0.01,0.99,custom,Naive,20.577979538449252
small,512,1024,64,0.01,0.99,custom,WarpPerRow,18.284237105151128
small,512,1024,64,0.01,0.99,custom,WarpPerRowSmem,18.463712671777603
small,512,1024,64,0.01,0.99,custom,WarpPerRowFp4,31.917022264057472
small,512,1024,64,0.05,0.95,torch,torch.mm,66.89036550071977
small,512,1024,64,0.05,0.95,torch,torch.addmm,91.93317329905722
small,512,1024,64,0.05,0.95,custom,Naive,98.75882292492689
small,512,1024,64,0.05,0.95,custom,WarpPerRow,75.99042126168368
small,512,1024,64,0.05,0.95,custom,WarpPerRowSmem,79.58946179045869
small,512,1024,64,0.05,0.95,custom,WarpPerRowFp4,135.42273410566258
small,512,1024,64,0.1,0.9,torch,torch.mm,131.58480444098953
small,512,1024,64,0.1,0.9,torch,torch.addmm,183.66275774317077
small,512,1024,64,0.1,0.9,custom,Naive,185.34252790931342
small,512,1024,64,0.1,0.9,custom,WarpPerRow,142.055985008639
small,512,1024,64,0.1,0.9,custom,WarpPerRowSmem,151.52588533094624
small,512,1024,64,0.1,0.9,custom,WarpPerRowFp4,244.19790294636795
small,512,1024,64,0.2,0.8,torch,torch.mm,228.04452617447382
small,512,1024,64,0.2,0.8,torch,torch.addmm,314.10197078318043
small,512,1024,64,0.2,0.8,custom,Naive,278.0418312304151
small,512,1024,64,0.2,0.8,custom,WarpPerRow,230.52224700335455
small,512,1024,64,0.2,0.8,custom,WarpPerRowSmem,268.2444722124411
small,512,1024,64,0.2,0.8,custom,WarpPerRowFp4,462.2284220479788
small,512,1024,64,0.3,0.7,torch,torch.mm,308.65474570086826
small,512,1024,64,0.3,0.7,torch,torch.addmm,413.5210215387262
small,512,1024,64,0.3,0.7,custom,Naive,347.0292702596825
small,512,1024,64,0.3,0.7,custom,WarpPerRow,325.5936953379311
small,512,1024,64,0.3,0.7,custom,WarpPerRowSmem,346.87275849367774
small,512,1024,64,0.3,0.7,custom,WarpPerRowFp4,629.902954334063
medium,1024,2048,128,0.01,0.99,torch,torch.mm,37.08668401263076
medium,1024,2048,128,0.01,0.99,torch,torch.addmm,89.85456964004723
medium,1024,2048,128,0.01,0.99,custom,Naive,58.461262695009594
medium,1024,2048,128,0.01,0.99,custom,WarpPerRow,70.36069690457934
medium,1024,2048,128,0.01,0.99,custom,WarpPerRowSmem,69.33719865630903
medium,1024,2048,128,0.01,0.99,custom,WarpPerRowFp4,121.1506215936326
medium,1024,2048,128,0.05,0.95,torch,torch.mm,176.76939374969763
medium,1024,2048,128,0.05,0.95,torch,torch.addmm,392.2695450282534
medium,1024,2048,128,0.05,0.95,custom,Naive,308.7376075394927
medium,1024,2048,128,0.05,0.95,custom,WarpPerRow,308.7632843198935
medium,1024,2048,128,0.05,0.95,custom,WarpPerRowSmem,344.0006545383204
medium,1024,2048,128,0.05,0.95,custom,WarpPerRowFp4,429.61269785871553
medium,1024,2048,128,0.1,0.9,torch,torch.mm,328.40854994799946
medium,1024,2048,128,0.1,0.9,torch,torch.addmm,641.8873427184006
medium,1024,2048,128,0.1,0.9,custom,Naive,447.82223751577794
medium,1024,2048,128,0.1,0.9,custom,WarpPerRow,402.4140748553041
medium,1024,2048,128,0.1,0.9,custom,WarpPerRowSmem,513.1323696655458
medium,1024,2048,128,0.1,0.9,custom,WarpPerRowFp4,626.2371294477276
medium,1024,2048,128,0.2,0.8,torch,torch.mm,521.7881000471687
medium,1024,2048,128,0.2,0.8,torch,torch.addmm,862.4899505071975
medium,1024,2048,128,0.2,0.8,custom,Naive,564.8628119323007
medium,1024,2048,128,0.2,0.8,custom,WarpPerRow,404.17009342374814
medium,1024,2048,128,0.2,0.8,custom,WarpPerRowSmem,630.7954846345302
medium,1024,2048,128,0.2,0.8,custom,WarpPerRowFp4,1092.7261777940023
medium,1024,2048,128,0.3,0.7,torch,torch.mm,624.7486232420803
medium,1024,2048,128,0.3,0.7,torch,torch.addmm,876.2348648740762
medium,1024,2048,128,0.3,0.7,custom,Naive,579.165182305602
medium,1024,2048,128,0.3,0.7,custom,WarpPerRow,468.99701443605124
medium,1024,2048,128,0.3,0.7,custom,WarpPerRowSmem,675.7702837841005
medium,1024,2048,128,0.3,0.7,custom,WarpPerRowFp4,1240.442751658717
large,4096,4096,128,0.01,0.99,torch,torch.mm,13.192498611685375
large,4096,4096,128,0.01,0.99,torch,torch.addmm,24.148680828026297
large,4096,4096,128,0.01,0.99,custom,Naive,42.548176684909556
large,4096,4096,128,0.01,0.99,custom,WarpPerRow,43.28573652863712
